Mod:Item:MetaData, Localized Name
ExtraPlanets:tile.kepler22bPlanks:0, Kepler 22b Blue Wooden Planks
ExtraPlanets:tile.kepler22bPlanks:1, Kepler 22b Red Wooden Planks
ExtraPlanets:tile.kepler22bPlanks:2, Kepler 22b Purple Wooden Planks
ExtraPlanets:tile.kepler22bPlanks:3, Kepler 22b Yellow Wooden Planks
ExtraPlanets:tile.kepler22bPlanks:4, Kepler 22b Green Wooden Planks
ExtraPlanets:tile.kepler22bPlanks:5, Kepler 22b Brown Wooden Planks
ExtraPlanets:mercuryStonehalfslab:0, Mercury Stone Slab
ExtraPlanets:mercuryStonefullslab:0, Mercury Stone Slab
ExtraPlanets:mercuryStoneStairs, Mercury Stone Stairs
ExtraPlanets:mercuryStoneBrickStairs, Mercury Stone Bricks Stairs
ExtraPlanets:venusStonehalfslab:0, Venus Stone Slab
ExtraPlanets:venusStonefullslab:0, Venus Stone Slab
ExtraPlanets:venusStoneStairs, Venus Stone Stairs
ExtraPlanets:venusStoneBrickStairs, Venus Stone Bricks Stairs
ExtraPlanets:venusDungeonBrickStonehalfslab:0, Venus Dungeon Brick Slab
ExtraPlanets:venusDungeonBrickStonefullslab:0, Venus Dungeon Brick Slab
ExtraPlanets:venusDungeonBrickStoneStairs, Venus Dungeon Brick Stairs
ExtraPlanets:ceresStonehalfslab:0, Ceres Stone Slab
ExtraPlanets:ceresStonefullslab:0, Ceres Stone Slab
ExtraPlanets:ceresStoneStairs, Ceres Stone Stairs
ExtraPlanets:ceresStoneBrickStairs, Ceres Stone Bricks Stairs
ExtraPlanets:jupiterStonehalfslab:0, Jupiter Stone Slab
ExtraPlanets:jupiterStonefullslab:0, Jupiter Stone Slab
ExtraPlanets:jupiterStoneStairs, Jupiter Stone Stairs
ExtraPlanets:jupiterStoneBrickStairs, Jupiter Stone Bricks Stairs
ExtraPlanets:jupiterDungeonBrickStonehalfslab:0, Jupiter Dungeon Brick Slab
ExtraPlanets:jupiterDungeonBrickStonefullslab:0, Jupiter Dungeon Brick Slab
ExtraPlanets:jupiterDungeonBrickStoneStairs, Jupiter Dungeon Brick Stairs
ExtraPlanets:saturnStonehalfslab:0, Saturn Stone Slab
ExtraPlanets:saturnStonefullslab:0, Saturn Stone Slab
ExtraPlanets:saturnStoneStairs, Saturn Stone Stairs
ExtraPlanets:saturnStoneBrickStairs, Saturn Stone Bricks Stairs
ExtraPlanets:saturnDungeonBrickStonehalfslab:0, Saturn Dungeon Brick Slab
ExtraPlanets:saturnDungeonBrickStonefullslab:0, Saturn Dungeon Brick Slab
ExtraPlanets:saturnDungeonBrickStoneStairs, Saturn Dungeon Brick Stairs
ExtraPlanets:uranusStonehalfslab:0, Uranus Stone Slab
ExtraPlanets:uranusStonefullslab:0, Uranus Stone Slab
ExtraPlanets:uranusStoneStairs, Uranus Stone Stairs
ExtraPlanets:uranusStoneBrickStairs, Uranus Stone Bricks Stairs
ExtraPlanets:uranusDungeonBrickStonehalfslab:0, Uranus Dungeon Brick Slab
ExtraPlanets:uranusDungeonBrickStonefullslab:0, Uranus Dungeon Brick Slab
ExtraPlanets:uranusDungeonBrickStoneStairs, Uranus Dungeon Brick Stairs
ExtraPlanets:neptuneStonehalfslab:0, Neptune Stone Slab
ExtraPlanets:neptuneStonefullslab:0, Neptune Stone Slab
ExtraPlanets:neptuneStoneStairs, Neptune Stone Stairs
ExtraPlanets:neptuneStoneBrickStairs, Neptune Stone Bricks Stairs
ExtraPlanets:neptuneDungeonBrickStonehalfslab:0, Neptune Dungeon Brick Slab
ExtraPlanets:neptuneDungeonBrickStonefullslab:0, Neptune Dungeon Brick Slab
ExtraPlanets:neptuneDungeonBrickStoneStairs, Neptune Dungeon Brick Stairs
ExtraPlanets:plutoStonehalfslab:0, Pluto Stone Slab
ExtraPlanets:plutoStonefullslab:0, Pluto Stone Slab
ExtraPlanets:plutoStoneStairs, Pluto Stone Stairs
ExtraPlanets:plutoStoneBrickStairs, Pluto Stone Bricks Stairs
ExtraPlanets:erisStonehalfslab:0, Eris Stone Slab
ExtraPlanets:erisStonefullslab:0, Eris Stone Slab
ExtraPlanets:erisStoneStairs, Eris Stone Stairs
ExtraPlanets:erisStoneBrickStairs, Eris Stone Bricks Stairs
ExtraPlanets:advancedRefinery, Advanced Refinery
ExtraPlanets:ultimateRefinery, Ultimate Refinery
ExtraPlanets:advancedFuelLoader, Advanced Fuel Loader
ExtraPlanets:ultimateFuelLoader, Ultimate Fuel Loader
ExtraPlanets:advancedOxygenCompressor:0, Advanced Oxygen Compressor
ExtraPlanets:advancedOxygenCompressor:4, Advanced Oxygen Decompressor
ExtraPlanets:ultimateOxygenCompressor:0, Ultimate Oxygen Compressor
ExtraPlanets:ultimateOxygenCompressor:4, Ultimate Oxygen Decompressor
ExtraPlanets:tile.solar:0, Hybrid Solar Panel
ExtraPlanets:tile.solar:4, Ultimate Solar Panel
ExtraPlanets:chargingBlock, Vehicle Charger
ExtraPlanets:glowstone, Liquid Glowstone
ExtraPlanets:magma, Liquid Magma
ExtraPlanets:nitrogen, Liquid Nitrogen
ExtraPlanets:salt, Salt Ore
ExtraPlanets:frozen_water, Frozen Water
ExtraPlanets:radio_active_water, Radioactive Water
ExtraPlanets:infected_water, Infected Water
ExtraPlanets:methane, Liquid Methane
ExtraPlanets:nitrogen_ice, Liquid Nitrogen Ice
ExtraPlanets:liquid_chocolate, Liquid Chocolate
ExtraPlanets:liquid_caramel, Liquid Caramel
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:golemConnector, Golem Connector
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:aspectAnalyzer, Aspectalyzer
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ForbiddenMagic:ArcaneCake, Thaumic Cake
ForbiddenMagic:WrathCage, Wrath Cage
ForbiddenMagic:InkFlower, Umbral Rose
ForbiddenMagic:StarBlock, Nether Star Block
ForbiddenMagic:UmbralBush, Umbral Rose Bush
ForbiddenMagic:TaintLog, Tainted Log
ForbiddenMagic:TaintPlank, Tainted Planks
ForbiddenMagic:TaintLeaves, Tainted Leaves
ForbiddenMagic:TaintSapling, Tainted Sapling
ForbiddenMagic:TaintBlock:0, Tainted Stone
ForbiddenMagic:TaintBlock:1, Tainted Stone Bricks
advgenerators:TurbineController, Gas Turbine Controller
advgenerators:HeatExchangerController, Heat Exchanger Controller
advgenerators:SteamTurbineController, Steam Turbine Controller
advgenerators:SyngasController, Syngas Producer Controller
advgenerators:EuOutputLV, LV Emitter
advgenerators:EuOutputMV, MV Emitter
advgenerators:EuOutputHV, HV Emitter
advgenerators:EuOutputEV, EV Emitter
advgenerators:RFOutput, Flux Generator
advgenerators:FluidInput, Fluid Intake Valve
advgenerators:FluidOutputSelect, Fluid Output Valve
advgenerators:ItemInput, Item Input Port
advgenerators:ItemOutput, Item Output Port
advgenerators:FuelTank, Fuel Tank
advgenerators:HeatingChamber, Heating Chamber
advgenerators:MixingChamber, Mixing Chamber
advgenerators:HeatExchanger, Heat Exchanger
advgenerators:Sensor, Sensor Module
advgenerators:Control, Redstone Control Module
advgenerators:EfficiencyUpgradeTier1, Fuel/Air Mixer
advgenerators:EfficiencyUpgradeTier2, Gas Mix Compressor
advgenerators:GasInput, Gas Intake Valve
advgenerators:syngas_flaming, tile.advgenerators.syngas_flaming.name
advgenerators:syngas, Syngas
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Silver Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
JABBA:barrel, Better Barrel
RedstoneArsenal:Storage:0, Fluxed Electrum Block
RedstoneArsenal:Storage:1, Flux Crystal Block
MagicBees:magicbees.enchantedEarth, Enchanted Earth
MagicBees:hive:0, Curious Hive
MagicBees:hive:1, Unusual Hive
MagicBees:hive:2, Resonating Hive
MagicBees:effectJar, Bee Collector's Jar
MagicBees:magicApiary, Magic Apiary
MagicBees:manaAuraProvider, Mana Apiary Booster
MagicBees:visAuraProvider, Vis Apiary Booster
malisisdoors:door_acacia, Acacia Door
malisisdoors:door_birch, Birch Door
malisisdoors:door_dark_oak, Dark Oak Door
malisisdoors:door_jungle, Jungle Door
malisisdoors:door_spruce, Spruce Door
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain_black, Black Curtain
malisisdoors:curtain_red, Red Curtain
malisisdoors:curtain_green, Green Curtain
malisisdoors:curtain_brown, Brown Curtain
malisisdoors:curtain_blue, Blue Curtain
malisisdoors:curtain_purple, Purple Curtain
malisisdoors:curtain_cyan, Cyan Curtain
malisisdoors:curtain_silver, SilverCurtain
malisisdoors:curtain_gray, Gray Curtain
malisisdoors:curtain_pink, Pink Curtain
malisisdoors:curtain_lime, Lime Curtain
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
malisisdoors:curtain_yellow, Yellow Curtain
malisisdoors:curtain_light_blue, Light Blue Curtain
malisisdoors:curtain_magenta, Magenta Curtain
malisisdoors:curtain_orange, Orange Curtain
malisisdoors:curtain_white, White Curtain
malisisdoors:saloon, Saloon Door
malisisdoors:acaciaFenceGate, Acacia Fence Gate
malisisdoors:birchFenceGate, Birch Fence Gate
malisisdoors:darkOakFenceGate, Dark Oak Fence Gate
malisisdoors:jungleFenceGate, Jungle Fence Gate
malisisdoors:spruceFenceGate, Spruce Fence Gate
malisisdoors:camoFenceGate, Camo Fence Gate
malisisdoors:iron_trapdoor, Iron Trapdoor
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:trapdoor_acacia, Acacia Trapdoor
malisisdoors:trapdoor_birch, Birch Trapdoor
malisisdoors:trapdoor_dark_oak, Dark Oak Trapdoor
malisisdoors:trapdoor_jungle, Jungle Trapdoor
malisisdoors:trapdoor_spruce, Spruce Trapdoor
malisisdoors:player_sensor, Player Sensor
malisisdoors:vanishing_block:0, Wooden Vanishing Frame
malisisdoors:vanishing_block:1, Iron Vanishing Frame
malisisdoors:vanishing_block:2, Gold Vanishing Frame
malisisdoors:vanishing_block:3, Diamond Vanishing Frame
malisisdoors:vanishing_block_diamond, Diamond Vanishing Frame
malisisdoors:block_mixer, Block Mixer
malisisdoors:mixed_block, Mixed Block
malisisdoors:garage_door, Garage Door
malisisdoors:door_factory, Door Factory
malisisdoors:null, Unnamed Block, report to mod author.
malisisdoors:rustyHatch, Rusty Hatch
malisisdoors:rustyLadder, Rusty Ladder
malisisdoors:carriage_door, Carriage Door
malisisdoors:medieval_door, Medieval Door
malisisdoors:forcefieldDoor, Forcefield
Mekanism:BasicBlock:0, Osmium Block
Mekanism:BasicBlock:1, Bronze Block
Mekanism:BasicBlock:2, Refined Obsidian
Mekanism:BasicBlock:3, Charcoal Block
Mekanism:BasicBlock:4, Refined Glowstone
Mekanism:BasicBlock:5, Steel Block
Mekanism:BasicBlock:6, Basic Bin
Mekanism:BasicBlock:6, Advanced Bin
Mekanism:BasicBlock:6, Elite Bin
Mekanism:BasicBlock:6, Ultimate Bin
Mekanism:BasicBlock:7, Teleporter Frame
Mekanism:BasicBlock:8, Steel Casing
Mekanism:BasicBlock:9, Dynamic Tank
Mekanism:BasicBlock:10, Structural Glass
Mekanism:BasicBlock:11, Dynamic Valve
Mekanism:BasicBlock:12, Copper Block
Mekanism:BasicBlock:13, Tin Block
Mekanism:BasicBlock:14, Thermal Evaporation Controller
Mekanism:BasicBlock:15, Thermal Evaporation Valve
Mekanism:BasicBlock2:0, Thermal Evaporation Block
Mekanism:BasicBlock2:1, Induction Casing
Mekanism:BasicBlock2:2, Induction Port
Mekanism:BasicBlock2:3, Basic Induction Cell
Mekanism:BasicBlock2:3, Advanced Induction Cell
Mekanism:BasicBlock2:3, Elite Induction Cell
Mekanism:BasicBlock2:3, Ultimate Induction Cell
Mekanism:BasicBlock2:4, Basic Induction Provider
Mekanism:BasicBlock2:4, Advanced Induction Provider
Mekanism:BasicBlock2:4, Elite Induction Provider
Mekanism:BasicBlock2:4, Ultimate Induction Provider
Mekanism:BasicBlock2:5, Superheating Element
Mekanism:BasicBlock2:6, Pressure Disperser
Mekanism:BasicBlock2:7, Boiler Casing
Mekanism:BasicBlock2:8, Boiler Valve
Mekanism:BasicBlock2:9, Security Desk
Mekanism:OreBlock:0, Osmium Ore
Mekanism:OreBlock:1, Copper Ore
Mekanism:OreBlock:2, Tin Ore
Mekanism:EnergyCube, tile.EnergyCube.name
Mekanism:ObsidianTNT, Obsidian TNT
Mekanism:BoundingBlock, Bounding Block
Mekanism:GasTank:0, Basic Gas Tank
Mekanism:GasTank:0, Advanced Gas Tank
Mekanism:GasTank:0, Elite Gas Tank
Mekanism:GasTank:0, Ultimate Gas Tank
Mekanism:CardboardBox, Cardboard Box
Mekanism:PlasticBlock:0, §8Black Plastic Block
Mekanism:PlasticBlock:1, §cRed Plastic Block
Mekanism:PlasticBlock:2, §2Green Plastic Block
Mekanism:PlasticBlock:3, §6Brown Plastic Block
Mekanism:PlasticBlock:4, §1Blue Plastic Block
Mekanism:PlasticBlock:5, §5Purple Plastic Block
Mekanism:PlasticBlock:6, §3Cyan Plastic Block
Mekanism:PlasticBlock:7, §7Light Grey Plastic Block
Mekanism:PlasticBlock:8, §8Grey Plastic Block
Mekanism:PlasticBlock:9, §dPink Plastic Block
Mekanism:PlasticBlock:10, §aLime Plastic Block
Mekanism:PlasticBlock:11, §eYellow Plastic Block
Mekanism:PlasticBlock:12, §9Light Blue Plastic Block
Mekanism:PlasticBlock:13, §dMagenta Plastic Block
Mekanism:PlasticBlock:14, §6Orange Plastic Block
Mekanism:PlasticBlock:15, §fWhite Plastic Block
Mekanism:SlickPlasticBlock:0, §8Black Slick Plastic Block
Mekanism:SlickPlasticBlock:1, §cRed Slick Plastic Block
Mekanism:SlickPlasticBlock:2, §2Green Slick Plastic Block
Mekanism:SlickPlasticBlock:3, §6Brown Slick Plastic Block
Mekanism:SlickPlasticBlock:4, §1Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:5, §5Purple Slick Plastic Block
Mekanism:SlickPlasticBlock:6, §3Cyan Slick Plastic Block
Mekanism:SlickPlasticBlock:7, §7Light Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:8, §8Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:9, §dPink Slick Plastic Block
Mekanism:SlickPlasticBlock:10, §aLime Slick Plastic Block
Mekanism:SlickPlasticBlock:11, §eYellow Slick Plastic Block
Mekanism:SlickPlasticBlock:12, §9Light Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:13, §dMagenta Slick Plastic Block
Mekanism:SlickPlasticBlock:14, §6Orange Slick Plastic Block
Mekanism:SlickPlasticBlock:15, §fWhite Slick Plastic Block
Mekanism:GlowPlasticBlock:0, §8Black Plastic Glow Block
Mekanism:GlowPlasticBlock:1, §cRed Plastic Glow Block
Mekanism:GlowPlasticBlock:2, §2Green Plastic Glow Block
Mekanism:GlowPlasticBlock:3, §6Brown Plastic Glow Block
Mekanism:GlowPlasticBlock:4, §1Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:5, §5Purple Plastic Glow Block
Mekanism:GlowPlasticBlock:6, §3Cyan Plastic Glow Block
Mekanism:GlowPlasticBlock:7, §7Light Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:8, §8Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:9, §dPink Plastic Glow Block
Mekanism:GlowPlasticBlock:10, §aLime Plastic Glow Block
Mekanism:GlowPlasticBlock:11, §eYellow Plastic Glow Block
Mekanism:GlowPlasticBlock:12, §9Light Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:13, §dMagenta Plastic Glow Block
Mekanism:GlowPlasticBlock:14, §6Orange Plastic Glow Block
Mekanism:GlowPlasticBlock:15, §fWhite Plastic Glow Block
Mekanism:ReinforcedPlasticBlock:0, §8Black Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:1, §cRed Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:2, §2Green Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:3, §6Brown Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:4, §1Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:5, §5Purple Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:6, §3Cyan Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:7, §7Light Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:8, §8Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:9, §dPink Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:10, §aLime Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:11, §eYellow Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:12, §9Light Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:13, §dMagenta Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:14, §6Orange Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:15, §fWhite Reinforced Plastic Block
Mekanism:RoadPlasticBlock:0, §8Black Plastic Road
Mekanism:RoadPlasticBlock:1, §cRed Plastic Road
Mekanism:RoadPlasticBlock:2, §2Green Plastic Road
Mekanism:RoadPlasticBlock:3, §6Brown Plastic Road
Mekanism:RoadPlasticBlock:4, §1Blue Plastic Road
Mekanism:RoadPlasticBlock:5, §5Purple Plastic Road
Mekanism:RoadPlasticBlock:6, §3Cyan Plastic Road
Mekanism:RoadPlasticBlock:7, §7Light Grey Plastic Road
Mekanism:RoadPlasticBlock:8, §8Grey Plastic Road
Mekanism:RoadPlasticBlock:9, §dPink Plastic Road
Mekanism:RoadPlasticBlock:10, §aLime Plastic Road
Mekanism:RoadPlasticBlock:11, §eYellow Plastic Road
Mekanism:RoadPlasticBlock:12, §9Light Blue Plastic Road
Mekanism:RoadPlasticBlock:13, §dMagenta Plastic Road
Mekanism:RoadPlasticBlock:14, §6Orange Plastic Road
Mekanism:RoadPlasticBlock:15, §fWhite Plastic Road
Mekanism:PlasticFence:0, §8Black Plastic Barrier
Mekanism:PlasticFence:1, §cRed Plastic Barrier
Mekanism:PlasticFence:2, §2Green Plastic Barrier
Mekanism:PlasticFence:3, §6Brown Plastic Barrier
Mekanism:PlasticFence:4, §1Blue Plastic Barrier
Mekanism:PlasticFence:5, §5Purple Plastic Barrier
Mekanism:PlasticFence:6, §3Cyan Plastic Barrier
Mekanism:PlasticFence:7, §7Light Grey Plastic Barrier
Mekanism:PlasticFence:8, §8Grey Plastic Barrier
Mekanism:PlasticFence:9, §dPink Plastic Barrier
Mekanism:PlasticFence:10, §aLime Plastic Barrier
Mekanism:PlasticFence:11, §eYellow Plastic Barrier
Mekanism:PlasticFence:12, §9Light Blue Plastic Barrier
Mekanism:PlasticFence:13, §dMagenta Plastic Barrier
Mekanism:PlasticFence:14, §6Orange Plastic Barrier
Mekanism:PlasticFence:15, §fWhite Plastic Barrier
Mekanism:SaltBlock, Salt Block
MekanismGenerators:Generator:0, Heat Generator
MekanismGenerators:Generator:1, Solar Generator
MekanismGenerators:Generator:3, Gas-Burning Generator
MekanismGenerators:Generator:4, Bio-Generator
MekanismGenerators:Generator:5, Advanced Solar Generator
MekanismGenerators:Generator:6, Wind Generator
MekanismGenerators:Generator:7, Turbine Rotor
MekanismGenerators:Generator:8, Rotational Complex
MekanismGenerators:Generator:9, Electromagnetic Coil
MekanismGenerators:Generator:10, Turbine Casing
MekanismGenerators:Generator:11, Turbine Valve
MekanismGenerators:Generator:12, Turbine Vent
MekanismGenerators:Generator:13, Saturating Condenser
MekanismGenerators:Reactor:0, Reactor Controller
MekanismGenerators:Reactor:1, Reactor Frame
MekanismGenerators:Reactor:3, Reactor Port
MekanismGenerators:Reactor:4, Reactor Logic Adapter
MekanismGenerators:ReactorGlass:0, Reactor Glass
MekanismGenerators:ReactorGlass:1, Laser Focus Matrix
millenaire:tile.ml_building, tile.ml_building.name
millenaire:tile.ml_panel, tile.ml_panel.name
millenaire:tile.ml_wood_deco:0, tile.ml_wood_deco.0.name
millenaire:tile.ml_wood_deco:1, tile.ml_wood_deco.1.name
millenaire:tile.ml_wood_deco:2, tile.ml_wood_deco.2.name
millenaire:tile.ml_wood_deco:3, tile.ml_wood_deco.3.name
millenaire:tile.ml_wood_deco:4, tile.ml_wood_deco.4.name
millenaire:tile.ml_earth_deco:0, tile.ml_earth_deco.0.name
millenaire:tile.ml_earth_deco:1, tile.ml_earth_deco.1.name
millenaire:tile.ml_stone_deco:0, tile.ml_stone_deco.0.name
millenaire:tile.ml_stone_deco:1, tile.ml_stone_deco.1.name
millenaire:tile.ml_stone_deco:2, tile.ml_stone_deco.2.name
millenaire:tile.ml_stone_deco:3, tile.ml_stone_deco.3.name
millenaire:tile.ml_path:8, tile.ml_path.8.name
millenaire:tile.ml_path:9, tile.ml_path.9.name
millenaire:tile.ml_path:10, tile.ml_path.10.name
millenaire:tile.ml_path:11, tile.ml_path.11.name
millenaire:tile.ml_path:12, tile.ml_path.12.name
millenaire:tile.ml_path:13, tile.ml_path.13.name
millenaire:tile.ml_path_slab:8, tile.ml_path_slab.8.name
millenaire:tile.ml_path_slab:9, tile.ml_path_slab.9.name
millenaire:tile.ml_path_slab:10, tile.ml_path_slab.10.name
millenaire:tile.ml_path_slab:11, tile.ml_path_slab.11.name
millenaire:tile.ml_path_slab:12, tile.ml_path_slab.12.name
millenaire:tile.ml_path_slab:13, tile.ml_path_slab.13.name
millenaire:tile.ml_cropRice, tile.ml_cropRice.name
millenaire:tile.ml_cropTurmeric, tile.ml_cropTurmeric.name
millenaire:tile.ml_cropMaize, tile.ml_cropMaize.name
millenaire:tile.ml_cropVine, tile.ml_cropVine.name
millenaire:tile.byzantine_brick, tile.byzantine_brick.name
millenaire:tile.byzantine_brick_slab, tile.byzantine_brick_slab.name
millenaire:tile.byzantine_mixedbrick, tile.byzantine_mixedbrick.name
millenaire:tile.ml_panes, tile.ml_panes.name
MorePlanet:chondrite_block:0, Chondrite Rock
MorePlanet:chondrite_block:1, Polished Chondrite
MorePlanet:chondrite_block:2, Chondrite Stone Brick
MorePlanet:space_decoration_block:0, Polished Tin Decoration Block
MorePlanet:space_decoration_block:1, Polished Aluminum Decoration Block
MorePlanet:space_mossy_cobblestone:0, Diona Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:1, Polongnius Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:2, Nibiru Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:3, Koentus Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:4, Kapteyn B Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:5, Sirius B Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:6, Venus Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:7, Mercury Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:8, Pluto Mossy Cobblestone
MorePlanet:space_mossy_cobblestone:9, Martian Mossy Cobblestone
MorePlanet:tinted_glass:0, Tinted Glass
MorePlanet:tinted_glass:1, Orange Tinted Glass
MorePlanet:tinted_glass:2, Magenta Tinted Glass
MorePlanet:tinted_glass:3, Light Blue Tinted Glass
MorePlanet:tinted_glass:4, Yellow Tinted Glass
MorePlanet:tinted_glass:5, Lime Tinted Glass
MorePlanet:tinted_glass:6, Pink Tinted Glass
MorePlanet:tinted_glass:7, Gray Tinted Glass
MorePlanet:tinted_glass:8, Light Gray Tinted Glass
MorePlanet:tinted_glass:9, Cyan Tinted Glass
MorePlanet:tinted_glass:10, Purple Tinted Glass
MorePlanet:tinted_glass:11, Blue Tinted Glass
MorePlanet:tinted_glass:12, Brown Tinted Glass
MorePlanet:tinted_glass:13, Green Tinted Glass
MorePlanet:tinted_glass:14, Red Tinted Glass
MorePlanet:tinted_glass:15, Black Tinted Glass
MorePlanet:tinted_glass_pane:0, Tinted Glass Pane
MorePlanet:tinted_glass_pane:1, Orange Tinted Glass Pane
MorePlanet:tinted_glass_pane:2, Magenta Tinted Glass Pane
MorePlanet:tinted_glass_pane:3, Light Blue Tinted Glass Pane
MorePlanet:tinted_glass_pane:4, Yellow Tinted Glass Pane
MorePlanet:tinted_glass_pane:5, Lime Tinted Glass Pane
MorePlanet:tinted_glass_pane:6, Pink Tinted Glass Pane
MorePlanet:tinted_glass_pane:7, Gray Tinted Glass Pane
MorePlanet:tinted_glass_pane:8, Light Gray Tinted Glass Pane
MorePlanet:tinted_glass_pane:9, Cyan Tinted Glass Pane
MorePlanet:tinted_glass_pane:10, Purple Tinted Glass Pane
MorePlanet:tinted_glass_pane:11, Blue Tinted Glass Pane
MorePlanet:tinted_glass_pane:12, Brown Tinted Glass Pane
MorePlanet:tinted_glass_pane:13, Green Tinted Glass Pane
MorePlanet:tinted_glass_pane:14, Red Tinted Glass Pane
MorePlanet:tinted_glass_pane:15, Black Tinted Glass Pane
MorePlanet:mp_wall:0, Diona Cobblestone Wall
MorePlanet:mp_wall:1, Quontonium Brick Wall
MorePlanet:mp_wall:2, Chiseled Quontonium Wall
MorePlanet:mp_wall:3, Polongnius Cobblestone Wall
MorePlanet:mp_wall:4, Nibiru Cobblestone Wall
MorePlanet:mp_wall:5, Koentus Cobblestone Wall
MorePlanet:mp_wall:6, Koentus Ancient Stone Wall
MorePlanet:mp_wall:7, Koentus Ancient Brick Wall
